,M,activation,batch_size,date,dropout,early_stop,epochs,example_class,g,gpus,hidden,init_weights,l,lr,m,nbr_of_traj,nbr_points_per_traj,network,noise,normalized_inputdata,scheduler_dict,seed,size_multiplier,stopped_epoch,t_end,t_start,test_loss,train_loss,val_loss,val_size,weight_decay
0,1,"Softplus(beta=1, threshold=20)",2048,2022-12-28 08:29:27.368434,0,10000,20000,PendCart,9.81,1,"[256, 256, 256]",,1,0.005,1,1000,45,HNN_mse_,0.01,0,"{'reduceLRonPlateau': {'factor': 0.95, 'patience': 50, 'min_lr': 1e-09}}",0,1,4499,1,0,0.0036291535999999998,0.0030450646000000003,0.0033169829,0.3,0
1,1,"Softplus(beta=1, threshold=20)",2048,2022-12-28 09:24:56.756676,0,10000,20000,PendCart,9.81,1,"[256, 256, 256]",,1,0.005,1,1000,45,NN_mse_,0.01,0,"{'reduceLRonPlateau': {'factor': 0.95, 'patience': 50, 'min_lr': 1e-09}}",0,1,3396,1,0,0.0038677284,0.0029611385,0.0035134112,0.3,0
